Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Scryfall URL,Image URL,Prix
Krosan Verge,MOC,March of the Machine Commander,412,normal,uncommon,1,81997,dabcee54-dda3-4208-81a8-e1ae3f79acf5,0.16,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/304/krosan-verge?utm_source=api,https://cards.scryfall.io/normal/front/1/9/19fc5bec-f877-430c-8e83-e6c5fe97f3c4.jpg?1712355058,0.19
Llanowar Reborn,MOC,March of the Machine Commander,413,normal,uncommon,1,81823,992e1549-0c3e-4c0f-954f-c1061e36c276,0.2,False,False,near_mint,fr,EUR,https://scryfall.com/card/lcc/341/llanowar-reborn?utm_source=api,https://cards.scryfall.io/normal/front/2/8/284e165e-9ab6-47fc-9685-0fb03de237df.jpg?1698988601,0.14
Managorger Hydra,MOC,March of the Machine Commander,307,normal,rare,1,82031,e9c124d7-b4b1-43cf-9830-1244053cc056,0.67,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/307/managorger-hydra?utm_source=api,https://cards.scryfall.io/normal/front/e/9/e9c124d7-b4b1-43cf-9830-1244053cc056.jpg?1682209577,0.69
"Mikaeus, the Lunarch",MOC,March of the Machine Commander,197,normal,mythic,1,82058,fb885d30-c6e5-494a-bc01-3d5085b8e262,0.4,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/197/mikaeus-the-lunarch?utm_source=api,https://cards.scryfall.io/normal/front/f/b/fb885d30-c6e5-494a-bc01-3d5085b8e262.jpg?1682208524,0.36
Mindless Automaton,MOC,March of the Machine Commander,365,normal,uncommon,1,81999,db51ea5c-762f-4c60-9cf5-9c9fe5270f65,0.13,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/365/mindless-automaton?utm_source=api,https://cards.scryfall.io/normal/front/d/b/db51ea5c-762f-4c60-9cf5-9c9fe5270f65.jpg?1682210098,0.13
Mirror-Style Master,MOC,March of the Machine Commander,32,normal,rare,1,81451,d3481424-444e-4f13-881e-339e9c353988,0.28,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/32/mirror-style-master?utm_source=api,https://cards.scryfall.io/normal/front/d/3/d3481424-444e-4f13-881e-339e9c353988.jpg?1682207480,0.34
Mossfire Valley,MOC,March of the Machine Commander,414,normal,rare,1,81826,99b4e4f2-c37c-4bcf-a635-f01a427ffbed,0.25,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/274/mossfire-valley?utm_source=api,https://cards.scryfall.io/normal/front/2/8/285e4907-3d43-4c54-8a7f-cd8d2551de44.jpg?1706241193,0.18
Mosswort Bridge,MOC,March of the Machine Commander,415,normal,rare,1,81837,a02ddda8-703a-468c-93ec-87dc22820fd4,0.21,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/275/mosswort-bridge?utm_source=api,https://cards.scryfall.io/normal/front/6/9/69955979-1ca3-4fd3-ab7a-dd65c06a9ce0.jpg?1706241196,0.20
Mountain,MOM,March of the Machine,280,normal,common,2,81024,21041ed6-8f13-4909-a2c3-fa4894a2d1e3,0.04,False,False,near_mint,fr,EUR,https://scryfall.com/card/otj/283/mountain?utm_source=api,https://cards.scryfall.io/normal/front/9/1/9137b4aa-2289-4a4d-b1f5-ae75a0928278.jpg?1712356436,
Path of Ancestry,MOC,March of the Machine Commander,418,normal,common,1,82052,f975779d-60d4-4838-ac01-74b958b955a1,0.11,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/310/path-of-ancestry?utm_source=api,https://cards.scryfall.io/normal/front/1/b/1b0431c1-4310-46f8-8d1e-b6e56de7453d.jpg?1712355087,0.12
